guest_count,venue_district,ceremony_type,wedding_scale,seasonal_indicator,total_cost_lkr
152,Galle,Poruwa,premium,0,4084000
264,Kandy,Christian,budget,1,212000
307,Galle,Hindu,budget,0,1038000
108,Gampaha,Islamic,premium,1,8274000
70,Colombo,Hindu,budget,1,540000
389,Galle,Islamic,premium,1,14134000
99,Galle,Hindu,standard,1,1647000
267,Galle,Hindu,standard,1,3612000
264,Galle,Buddhist,standard,1,3126000
102,Gampaha,Buddhist,budget,0,384000
376,Colombo,Buddhist,premium,0,9655000
310,Gampaha,Hindu,budget,1,1140000
82,Kalutara,Poruwa,premium,1,5782000
276,Kurunegala,Christian,budget,0,362000
256,Gampaha,Hindu,budget,0,1116000
145,Galle,Poruwa,premium,0,8181000
209,Kandy,Christian,standard,1,2786000
183,Galle,Islamic,standard,1,2686000
274,Colombo,Buddhist,premium,1,10527000
186,Kalutara,Poruwa,budget,0,868000
209,Colombo,Islamic,budget,1,153000
150,Colombo,Buddhist,premium,0,6710000
273,Colombo,Buddhist,premium,1,18456000
296,Galle,Christian,premium,0,9388000
247,Kalutara,Christian,premium,1,8593000
375,Kurunegala,Christian,premium,1,9257000
197,Galle,Buddhist,budget,1,773000
200,Kalutara,Hindu,premium,0,6382000
109,Colombo,Hindu,budget,1,265000
58,Colombo,Christian,premium,1,3693000
169,Colombo,Islamic,premium,0,6762000
303,Kandy,Buddhist,premium,0,9465000
359,Kandy,Poruwa,budget,1,124000
353,Galle,Christian,budget,1,2150000
71,Kalutara,Poruwa,premium,1,3978000
335,Colombo,Islamic,premium,1,19266000
196,Galle,Christian,budget,1,1282000
95,Kurunegala,Christian,budget,0,412000
144,Kandy,Islamic,budget,1,867000
372,Gampaha,Buddhist,standard,0,3534000
337,Kalutara,Hindu,premium,0,12739000
348,Kalutara,Poruwa,standard,0,3522000
62,Galle,Hindu,premium,0,3446000
191,Galle,Christian,premium,0,6343000
391,Kandy,Buddhist,standard,0,4179000
375,Kalutara,Christian,budget,0,1274000
245,Kalutara,Poruwa,standard,0,2608000
173,Gampaha,Christian,budget,1,1071000
278,Gampaha,Poruwa,standard,0,2963000
171,Colombo,Hindu,standard,1,2690000
321,Kurunegala,Poruwa,standard,0,3070000
135,Colombo,Poruwa,standard,1,2053000
253,Gampaha,Hindu,budget,0,419000
59,Kalutara,Poruwa,standard,1,1033000
145,Colombo,Poruwa,budget,1,843000
209,Kandy,Islamic,standard,0,2722000
317,Kandy,Buddhist,budget,1,1306000
61,Kalutara,Hindu,budget,0,328000
