guest_group,age,priority,plus_one,wheelchair,allergy,side_code,relationship_code,has_avoid,table_type,min_age,max_age,min_priority,max_priority,min_seats,max_seats,action_if_bad
Groom's Family,30,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,54,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,12,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,20,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Friends,37,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,60,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Colleagues,38,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Neighbours,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,65,5,0,1,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,15,1,0,0,0,2,1,1,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,24,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,35,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,10,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,73,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,44,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
